cod_manzana,municipio,indice_conectividad,categoria_aislamiento,dist_rio_m
0583720050603700010101,Turbo,0.1075,aislado_critico,13248.0
0514710000000000010410,Carepa,0.87,bien_conectado,334.0
0549020050300500010101,Necoclí,0.1975,aislado_critico,44491.0
0565910000000000010312,San Juan de Urabá,0.515,semi_aislado,73168.0
0566510000000000010738,San Pedro de Urabá,0.44,semi_aislado,23475.0
0514710000000000010323,Carepa,0.82,bien_conectado,302.0
0514710000000000010516,Carepa,0.79,bien_conectado,243.0
0514710000000000020214,Carepa,0.6,conectividad_media,154.0
0514710000000000020426,Carepa,0.7875,bien_conectado,378.0
0514710000000000020430,Carepa,0.79,bien_conectado,17.0
0514710000000000020507,Carepa,0.8275,bien_conectado,422.0
0514720011001000010101,Carepa,0.5375,semi_aislado,2938.0
0514720011001000010110,Carepa,0.5375,semi_aislado,2793.0
0517210000000000010217,Chigorodó,0.4975,semi_aislado,790.0
0517210000000000010514,Chigorodó,0.6275,conectividad_media,379.0
0517210000000000010526,Chigorodó,0.5575,conectividad_media,966.0
0517210000000000020312,Chigorodó,0.6775,conectividad_media,524.0
0517210000000000030207,Chigorodó,0.7075,conectividad_media,224.0
0517210000000000050108,Chigorodó,0.7075,conectividad_media,199.0
0517210000000000050519,Chigorodó,0.7075,conectividad_media,480.0
0517210000000000050704,Chigorodó,0.5875,conectividad_media,197.0
0517210000000000060407,Chigorodó,0.5975,conectividad_media,938.0
0517210000000000060710,Chigorodó,0.5975,conectividad_media,1164.0
0517210000000000060739,Chigorodó,0.5975,conectividad_media,940.0
0517210000000000060904,Chigorodó,0.5975,conectividad_media,1380.0
0549020030200400010122,Necoclí,0.0875,aislado_critico,64167.0
0565910000000000010104,San Juan de Urabá,0.515,semi_aislado,72855.0
0566510000000000011008,San Pedro de Urabá,0.31,aislado_critico,24104.0
0583720110201800010317,Turbo,0.1975,aislado_critico,429.0
0583720110201800010331,Turbo,0.1975,aislado_critico,170.0
0504520020300900010209,Apartadó,0.5275,semi_aislado,2808.0
0504520020300900010212,Apartadó,0.5675,conectividad_media,2570.0
0504520010301100010216,Apartadó,0.7,conectividad_media,351.0
0505110000000000010119,Arboletes,0.475,semi_aislado,84525.0
0505110000000000010215,Arboletes,0.515,semi_aislado,84607.0
0505120020500300010102,Arboletes,0.0875,aislado_critico,59365.0
0514710000000000020510,Carepa,0.8275,bien_conectado,472.0
0549010000000000010102,Necoclí,0.2775,aislado_critico,36871.0
0549010000000000010224,Necoclí,0.2775,aislado_critico,36394.0
0549020050300500010208,Necoclí,0.1975,aislado_critico,44212.0
0549020050300500010218,Necoclí,0.1975,aislado_critico,44224.0
0549020120600600010110,Necoclí,0.2775,aislado_critico,30460.0
0565910000000000010206,San Juan de Urabá,0.4775,semi_aislado,73033.0
0565910000000000010216,San Juan de Urabá,0.4775,semi_aislado,72982.0
0565910000000000010509,San Juan de Urabá,0.515,semi_aislado,73959.0
0565920020300400010103,San Juan de Urabá,0.0875,aislado_critico,59687.0
0565920010200600010104,San Juan de Urabá,0.1075,aislado_critico,69395.0
0566510000000000010662,San Pedro de Urabá,0.4775,semi_aislado,23863.0
0566510000000000010725,San Pedro de Urabá,0.4375,semi_aislado,23227.0
0566510000000000010840,San Pedro de Urabá,0.4775,semi_aislado,23817.0
0583720090700100010115,Turbo,0.71,conectividad_media,107.0
0583720090700100010139,Turbo,0.7475,conectividad_media,148.0
0583720090700100010141,Turbo,0.79,bien_conectado,170.0
0583720090700100020231,Turbo,0.9075,bien_conectado,316.0
0583720100700200020512,Turbo,0.6375,conectividad_media,1191.0
0583720090600300010105,Turbo,0.7475,conectividad_media,236.0
0583720090600300010312,Turbo,0.7075,conectividad_media,218.0
0504520030101500010112,Apartadó,0.6375,conectividad_media,137.0
0504520020300900010226,Apartadó,0.5675,conectividad_media,2518.0
0505110000000000011016,Arboletes,0.4375,semi_aislado,84004.0
0505120030101100010135,Arboletes,0.0875,aislado_critico,61968.0
0505120030101100010136,Arboletes,0.0875,aislado_critico,61964.0
0514710000000000020105,Carepa,0.7,conectividad_media,40.0
0549010000000000010811,Necoclí,0.2375,aislado_critico,38171.0
0565920010300300010127,San Juan de Urabá,0.1075,aislado_critico,71779.0
0566510000000000030103,San Pedro de Urabá,0.4,semi_aislado,23003.0
0566520040200800010101,San Pedro de Urabá,0.1475,aislado_critico,42373.0
0583720100400800010111,Turbo,0.6375,conectividad_media,181.0
0514710000000000010132,Carepa,0.67,conectividad_media,710.0
0514710000000000010621,Carepa,0.7,conectividad_media,54.0
0514710000000000010726,Carepa,0.79,bien_conectado,280.0
0514710000000000020909,Carepa,0.57,conectividad_media,617.0
0514710000000000030101,Carepa,0.84,bien_conectado,816.0
0514710000000000030639,Carepa,0.75,bien_conectado,217.0
0517210000000000010121,Chigorodó,0.4875,semi_aislado,191.0
0517210000000000010213,Chigorodó,0.4975,semi_aislado,948.0
0517210000000000010601,Chigorodó,0.6275,conectividad_media,293.0
0517210000000000020407,Chigorodó,0.5575,conectividad_media,999.0
0517210000000000020436,Chigorodó,0.4575,semi_aislado,1330.0
0517210000000000030114,Chigorodó,0.6275,conectividad_media,192.0
0517210000000000040106,Chigorodó,0.6675,conectividad_media,187.0
0517210000000000050415,Chigorodó,0.7075,conectividad_media,438.0
0517210000000000050505,Chigorodó,0.6275,conectividad_media,392.0
0517210000000000050607,Chigorodó,0.7075,conectividad_media,467.0
0517210000000000060211,Chigorodó,0.6775,conectividad_media,829.0
0517210000000000060512,Chigorodó,0.5975,conectividad_media,1172.0
0517210000000000060711,Chigorodó,0.5975,conectividad_media,1214.0
0517210000000000060719,Chigorodó,0.5975,conectividad_media,842.0
0517210000000000060722,Chigorodó,0.5975,conectividad_media,1077.0
0549020030200400010109,Necoclí,0.0875,aislado_critico,64691.0
0565910000000000010139,San Juan de Urabá,0.4,semi_aislado,72965.0
0583720110201800010104,Turbo,0.1975,aislado_critico,287.0
0583720110201800010203,Turbo,0.2375,aislado_critico,64.0
0583720110201800010307,Turbo,0.1975,aislado_critico,194.0
0505110000000000010328,Arboletes,0.4375,semi_aislado,83929.0
0505110000000000010517,Arboletes,0.3975,semi_aislado,84129.0
0505110000000000011117,Arboletes,0.36,semi_aislado,83626.0
0514710000000000020612,Carepa,0.79,bien_conectado,128.0
0549010000000000010204,Necoclí,0.2775,aislado_critico,36425.0
0565920010300300010106,San Juan de Urabá,0.1075,aislado_critico,71658.0
0566510000000000030102,San Pedro de Urabá,0.4,semi_aislado,23046.0
0583720090700100020303,Turbo,0.71,conectividad_media,257.0
0583720090600300010106,Turbo,0.7075,conectividad_media,90.0
0505120020500300010103,Arboletes,0.0875,aislado_critico,59440.0
0504520020300900010205,Apartadó,0.5275,semi_aislado,2783.0
0504520020300900010315,Apartadó,0.6075,conectividad_media,2504.0
0505110000000000010814,Arboletes,0.475,semi_aislado,84505.0
0505110000000000011002,Arboletes,0.515,semi_aislado,84435.0
0505110000000000011014,Arboletes,0.4375,semi_aislado,84045.0
0549010000000000010409,Necoclí,0.2775,aislado_critico,36643.0
0549010000000000010717,Necoclí,0.2775,aislado_critico,37755.0
0549020120300300010112,Necoclí,0.2375,aislado_critico,34825.0
0549020120100700010117,Necoclí,0.1975,aislado_critico,35068.0
0549020090200800010113,Necoclí,0.0875,aislado_critico,49069.0
0549020040400900010120,Necoclí,0.1075,aislado_critico,48996.0
0549020120301400010109,Necoclí,0.2375,aislado_critico,35891.0
0565920010100100010110,San Juan de Urabá,0.0875,aislado_critico,70918.0
0565920010300300010122,San Juan de Urabá,0.1075,aislado_critico,71712.0
0565920010300300010129,San Juan de Urabá,0.1075,aislado_critico,71427.0
0566510000000000010659,San Pedro de Urabá,0.4775,semi_aislado,23992.0
0566510000000000010723,San Pedro de Urabá,0.4775,semi_aislado,23454.0
0566510000000000010859,San Pedro de Urabá,0.4775,semi_aislado,23793.0
0583720090700100010102,Turbo,0.71,conectividad_media,127.0
0583720090700100020115,Turbo,0.9475,bien_conectado,170.0
0583720100700200020420,Turbo,0.6775,conectividad_media,1081.0
0583720080301000010116,Turbo,0.4275,semi_aislado,2724.0
0583720090302300010103,Turbo,0.6775,conectividad_media,347.0
0583720090603100010110,Turbo,0.5975,conectividad_media,63.0
0514710000000000010525,Carepa,0.7,conectividad_media,36.0
0514710000000000010613,Carepa,0.79,bien_conectado,93.0
0514710000000000020238,Carepa,0.56,conectividad_media,382.0
0514710000000000020302,Carepa,0.79,bien_conectado,21.0
0514710000000000030203,Carepa,0.9175,bien_conectado,928.0
0514710000000000030526,Carepa,0.7975,bien_conectado,564.0
0514710000000000030546,Carepa,0.7475,conectividad_media,389.0
0514710000000000030547,Carepa,0.7475,conectividad_media,395.0
0514720011001000010107,Carepa,0.5375,semi_aislado,2891.0
0517210000000000010322,Chigorodó,0.4975,semi_aislado,816.0
0517210000000000020106,Chigorodó,0.5575,conectividad_media,741.0
0517210000000000030214,Chigorodó,0.7075,conectividad_media,317.0
0517210000000000050327,Chigorodó,0.5875,conectividad_media,42.0
0517210000000000050428,Chigorodó,0.6775,conectividad_media,547.0
0517210000000000060121,Chigorodó,0.5975,conectividad_media,837.0
0517210000000000060607,Chigorodó,0.5975,conectividad_media,976.0
0517210000000000060720,Chigorodó,0.5975,conectividad_media,873.0
0517210000000000061014,Chigorodó,0.5575,conectividad_media,1312.0
0549020090501500010103,Necoclí,0.2375,aislado_critico,38970.0
0565910000000000010217,San Juan de Urabá,0.4775,semi_aislado,73217.0
0565910000000000010407,San Juan de Urabá,0.4775,semi_aislado,73397.0
0566510000000000020109,San Pedro de Urabá,0.515,semi_aislado,23403.0
0504520020500200010113,Apartadó,0.5375,semi_aislado,489.0
0504520020500200010309,Apartadó,0.5775,conectividad_media,189.0
0504520020300900010119,Apartadó,0.6075,conectividad_media,2464.0
0505110000000000010918,Arboletes,0.3975,semi_aislado,84671.0
0505110000000000011103,Arboletes,0.4,semi_aislado,83800.0
0505110000000000011111,Arboletes,0.4,semi_aislado,83729.0
0505120040101000010101,Arboletes,0.0875,aislado_critico,54353.0
0505120040101000010122,Arboletes,0.0875,aislado_critico,54043.0
0505120030101100010125,Arboletes,0.0875,aislado_critico,62770.0
0549010000000000010210,Necoclí,0.2775,aislado_critico,36410.0
0549010000000000010804,Necoclí,0.2375,aislado_critico,38263.0
0549020030300200010110,Necoclí,0.0875,aislado_critico,59393.0
0549020120600600010114,Necoclí,0.2775,aislado_critico,30541.0
0566510000000000010355,San Pedro de Urabá,0.44,semi_aislado,22775.0
0566510000000000020113,San Pedro de Urabá,0.4,semi_aislado,23022.0
0583720090700100010612,Turbo,0.75,bien_conectado,203.0
0583720090700100020421,Turbo,0.79,bien_conectado,86.0
0583720100700200010306,Turbo,0.7175,conectividad_media,1127.0
0583720100700200010403,Turbo,0.6775,conectividad_media,1206.0
0583720100400800010108,Turbo,0.6375,conectividad_media,141.0
0583720100400800010206,Turbo,0.7575,bien_conectado,271.0
0583720090302500010101,Turbo,0.4775,semi_aislado,2649.0
0504520050300100010102,Apartadó,0.4275,semi_aislado,174.0
0504520020500200010123,Apartadó,0.5075,semi_aislado,527.0
0505110000000000010412,Arboletes,0.515,semi_aislado,84585.0
0505120060600500010106,Arboletes,0.1075,aislado_critico,51384.0
0514710000000000010122,Carepa,0.84,bien_conectado,752.0
0565920010100500010112,San Juan de Urabá,0.0875,aislado_critico,68075.0
0565920010200600010105,San Juan de Urabá,0.1075,aislado_critico,69409.0
0549010000000000010110,Necoclí,0.2775,aislado_critico,36587.0
0549010000000000010131,Necoclí,0.2775,aislado_critico,36267.0
0549010000000000010907,Necoclí,0.1975,aislado_critico,38390.0
0549020120600100010232,Necoclí,0.1975,aislado_critico,25536.0
0549020030300200010130,Necoclí,0.0875,aislado_critico,59845.0
0549020090200800010104,Necoclí,0.0875,aislado_critico,49075.0
0549020090501500010119,Necoclí,0.2775,aislado_critico,38754.0
0565920010100100010118,San Juan de Urabá,0.0875,aislado_critico,70660.0
0566510000000000010549,San Pedro de Urabá,0.4775,semi_aislado,23922.0
0566510000000000010658,San Pedro de Urabá,0.4775,semi_aislado,23940.0
0583720090700100010202,Turbo,0.71,conectividad_media,224.0
0583720090700100010221,Turbo,0.71,conectividad_media,3.0
0583720090700100010305,Turbo,0.71,conectividad_media,110.0
0583720100700200020216,Turbo,0.5975,conectividad_media,1346.0
0583720100700200020319,Turbo,0.6375,conectividad_media,1235.0
0583720100700200020321,Turbo,0.6375,conectividad_media,1303.0
0583720100700200020404,Turbo,0.6775,conectividad_media,1264.0
0583720100700200020514,Turbo,0.6375,conectividad_media,1151.0
0583720050200500010102,Turbo,0.2775,aislado_critico,15364.0
0583720080301000010115,Turbo,0.4275,semi_aislado,2787.0
0583720030802900010102,Turbo,0.2775,aislado_critico,10392.0
0514710000000000010614,Carepa,0.79,bien_conectado,44.0
0514710000000000020609,Carepa,0.8275,bien_conectado,233.0
0514710000000000020904,Carepa,0.57,conectividad_media,523.0
0514710000000000030109,Carepa,0.84,bien_conectado,842.0
0514710000000000030436,Carepa,0.8775,bien_conectado,738.0
0514710000000000030548,Carepa,0.7475,conectividad_media,379.0
0514710000000000030549,Carepa,0.7875,bien_conectado,384.0
0514720011001000010104,Carepa,0.5375,semi_aislado,2922.0
0514720011001000010130,Carepa,0.5775,conectividad_media,2707.0
0517210000000000010114,Chigorodó,0.6275,conectividad_media,112.0
0517210000000000020422,Chigorodó,0.5975,conectividad_media,1271.0
0517210000000000050203,Chigorodó,0.7075,conectividad_media,228.0
0517210000000000050322,Chigorodó,0.6275,conectividad_media,235.0
0517210000000000050608,Chigorodó,0.7075,conectividad_media,454.0
0517210000000000050807,Chigorodó,0.6775,conectividad_media,576.0
0517210000000000060404,Chigorodó,0.5975,conectividad_media,951.0
0517210000000000060706,Chigorodó,0.5975,conectividad_media,1039.0
0517210000000000060819,Chigorodó,0.5975,conectividad_media,1393.0
0565910000000000010310,San Juan de Urabá,0.515,semi_aislado,73136.0
0565910000000000010605,San Juan de Urabá,0.36,semi_aislado,72711.0
0583720110201800010309,Turbo,0.1975,aislado_critico,329.0
0504520010301100010234,Apartadó,0.78,bien_conectado,482.0
0505110000000000010326,Arboletes,0.4375,semi_aislado,83913.0
0514710000000000030410,Carepa,0.915,bien_conectado,792.0
0549020030300200010119,Necoclí,0.0875,aislado_critico,59321.0
0549020030300200010211,Necoclí,0.0875,aislado_critico,59418.0
0549020120100700010115,Necoclí,0.1475,aislado_critico,35336.0
0566510000000000030112,San Pedro de Urabá,0.4,semi_aislado,22944.0
0583720090700100020348,Turbo,0.66,conectividad_media,137.0
0583720090600300010215,Turbo,0.6275,conectividad_media,26.0
0583720080301000010121,Turbo,0.3275,aislado_critico,2861.0
0583720070201200010117,Turbo,0.2775,aislado_critico,10950.0
0583720050603700010103,Turbo,0.1075,aislado_critico,13292.0
0504520010301100010225,Apartadó,0.7,conectividad_media,149.0
0504520030101500010115,Apartadó,0.6375,conectividad_media,141.0
0504520010101600010114,Apartadó,0.3475,aislado_critico,39.0
0504520020500200010119,Apartadó,0.5375,semi_aislado,490.0
0504520010301100010114,Apartadó,0.74,conectividad_media,33.0
0505110000000000010138,Arboletes,0.475,semi_aislado,84724.0
0505110000000000010343,Arboletes,0.4375,semi_aislado,83925.0
0505110000000000011009,Arboletes,0.4375,semi_aislado,84076.0
0505120060400100010107,Arboletes,0.0875,aislado_critico,62033.0
0505120020500300010107,Arboletes,0.0875,aislado_critico,59199.0
0505120040101000010123,Arboletes,0.0875,aislado_critico,54057.0
0505120030101100010101,Arboletes,0.0875,aislado_critico,62900.0
0517220060601500010102,Chigorodó,0.3875,semi_aislado,2593.0
0549020120600100010127,Necoclí,0.2375,aislado_critico,25514.0
0549020030300200010128,Necoclí,0.0875,aislado_critico,59946.0
0549020120600600010118,Necoclí,0.2775,aislado_critico,30317.0
0549020040400900010109,Necoclí,0.0875,aislado_critico,49447.0
0565920010100100010129,San Juan de Urabá,0.0875,aislado_critico,70661.0
0565920010300300010134,San Juan de Urabá,0.1075,aislado_critico,71638.0
0565920010100500010108,San Juan de Urabá,0.0875,aislado_critico,68122.0
0566510000000000010126,San Pedro de Urabá,0.4775,semi_aislado,23696.0
0566510000000000010826,San Pedro de Urabá,0.515,semi_aislado,23640.0
0566520020300300010102,San Pedro de Urabá,0.0875,aislado_critico,53200.0
0583720100700200010213,Turbo,0.6775,conectividad_media,1112.0
0583720090700100010715,Turbo,0.79,bien_conectado,100.0
0583720090600300010327,Turbo,0.6675,conectividad_media,290.0
0583720030700600010103,Turbo,0.2775,aislado_critico,15422.0
0583720100400800010105,Turbo,0.6375,conectividad_media,243.0
0583720100400800010113,Turbo,0.6375,conectividad_media,105.0
0583720080301000010103,Turbo,0.4675,semi_aislado,2989.0
0583720090102700010104,Turbo,0.4175,semi_aislado,2925.0
0583720050202800010101,Turbo,0.2775,aislado_critico,18845.0
0514710000000000010402,Carepa,0.87,bien_conectado,456.0
0514710000000000010714,Carepa,0.79,bien_conectado,177.0
0514710000000000020228,Carepa,0.6,conectividad_media,226.0
0514710000000000020311,Carepa,0.79,bien_conectado,146.0
0514710000000000020523,Carepa,0.8275,bien_conectado,296.0
0514710000000000030113,Carepa,0.84,bien_conectado,859.0
0514710000000000030405,Carepa,0.915,bien_conectado,711.0
0514710000000000030555,Carepa,0.7875,bien_conectado,480.0
0517210000000000010117,Chigorodó,0.6275,conectividad_media,380.0
0517210000000000020402,Chigorodó,0.5575,conectividad_media,862.0
0517210000000000050128,Chigorodó,0.7075,conectividad_media,310.0
0517210000000000050319,Chigorodó,0.6275,conectividad_media,237.0
0517210000000000050814,Chigorodó,0.6775,conectividad_media,633.0
0517210000000000060822,Chigorodó,0.5575,conectividad_media,1295.0
0565910000000000010614,San Juan de Urabá,0.4375,semi_aislado,72980.0
0565910000000000010801,San Juan de Urabá,0.4375,semi_aislado,72366.0
0566510000000000010865,San Pedro de Urabá,0.44,semi_aislado,23878.0
0583720110201800010129,Turbo,0.1975,aislado_critico,391.0
0504520010101400010106,Apartadó,0.4275,semi_aislado,121.0
0505110000000000010322,Arboletes,0.4375,semi_aislado,83995.0
0504520010301100010218,Apartadó,0.78,bien_conectado,302.0
0504520020300900010126,Apartadó,0.6475,conectividad_media,2512.0
0504520020300900010323,Apartadó,0.6075,conectividad_media,2625.0
0505110000000000010405,Arboletes,0.515,semi_aislado,84806.0
0549020120101100010106,Necoclí,0.2775,aislado_critico,32394.0
0549010000000000010116,Necoclí,0.2775,aislado_critico,36493.0
0549010000000000010229,Necoclí,0.2775,aislado_critico,36576.0
0549010000000000010702,Necoclí,0.2375,aislado_critico,38058.0
0549020120301400010102,Necoclí,0.2775,aislado_critico,36193.0
0583720100700200010303,Turbo,0.6775,conectividad_media,1108.0
0583720100700200020308,Turbo,0.5575,conectividad_media,1362.0
0566510000000000010125,San Pedro de Urabá,0.4775,semi_aislado,23787.0
0583720090700100010214,Turbo,0.71,conectividad_media,64.0
0583720090600300010333,Turbo,0.6275,conectividad_media,249.0
0583720030700600010111,Turbo,0.2775,aislado_critico,15475.0
0583720080301000010117,Turbo,0.4275,semi_aislado,2779.0
0583720090402400010105,Turbo,0.6775,conectividad_media,227.0
0583720090503500010101,Turbo,0.2575,aislado_critico,109.0
0504520020500200010102,Apartadó,0.5775,conectividad_media,356.0
0504520020300900010308,Apartadó,0.6075,conectividad_media,2468.0
0504520010301100010113,Apartadó,0.74,conectividad_media,76.0
0505110000000000010511,Arboletes,0.4375,semi_aislado,84498.0
0505110000000000010913,Arboletes,0.435,semi_aislado,84731.0
0505120040101000010117,Arboletes,0.0875,aislado_critico,54490.0
0514710000000000010218,Carepa,0.78,bien_conectado,220.0
0514710000000000020620,Carepa,0.8275,bien_conectado,256.0
0514710000000000020625,Carepa,0.79,bien_conectado,106.0
0514710000000000020724,Carepa,0.79,bien_conectado,172.0
0514710000000000030433,Carepa,0.875,bien_conectado,684.0
0549010000000000010322,Necoclí,0.2775,aislado_critico,36781.0
0549010000000000010606,Necoclí,0.2375,aislado_critico,39614.0
0549010000000000010713,Necoclí,0.2775,aislado_critico,37915.0
0549010000000000010807,Necoclí,0.2375,aislado_critico,38248.0
0565920010100100010126,San Juan de Urabá,0.0875,aislado_critico,70794.0
0565920010100100010127,San Juan de Urabá,0.0875,aislado_critico,70743.0
0566520040200200010103,San Pedro de Urabá,0.2775,aislado_critico,38941.0
0583720090700100020354,Turbo,0.71,conectividad_media,239.0
0583720090700100020416,Turbo,0.79,bien_conectado,110.0
0583720090700100020505,Turbo,0.87,bien_conectado,175.0
0583720100700200010202,Turbo,0.6775,conectividad_media,1038.0
0583720100700200010308,Turbo,0.6375,conectividad_media,1151.0
0583720100700200020126,Turbo,0.6375,conectividad_media,1011.0
0583720100400800010201,Turbo,0.7575,bien_conectado,293.0
0583720100400800010211,Turbo,0.7575,bien_conectado,191.0
0583720070201200010125,Turbo,0.2375,aislado_critico,10642.0
0514710000000000010505,Carepa,0.74,conectividad_media,130.0
0514710000000000010811,Carepa,0.87,bien_conectado,450.0
0514710000000000020213,Carepa,0.6,conectividad_media,324.0
0514710000000000020312,Carepa,0.79,bien_conectado,119.0
0514710000000000020901,Carepa,0.6,conectividad_media,420.0
0514710000000000030121,Carepa,0.9175,bien_conectado,874.0
0514710000000000030541,Carepa,0.8375,bien_conectado,511.0
0514720011001000010109,Carepa,0.5375,semi_aislado,2855.0
0517210000000000010212,Chigorodó,0.4975,semi_aislado,879.0
0517210000000000010505,Chigorodó,0.6275,conectividad_media,471.0
0517210000000000010534,Chigorodó,0.5975,conectividad_media,912.0
0517210000000000020224,Chigorodó,0.5975,conectividad_media,1180.0
0517210000000000020228,Chigorodó,0.5575,conectividad_media,862.0
0517210000000000050311,Chigorodó,0.6275,conectividad_media,181.0
0517210000000000050409,Chigorodó,0.6275,conectividad_media,323.0
0517210000000000050526,Chigorodó,0.6275,conectividad_media,438.0
0517210000000000050703,Chigorodó,0.5875,conectividad_media,74.0
0517210000000000060105,Chigorodó,0.6775,conectividad_media,688.0
0517210000000000060806,Chigorodó,0.5975,conectividad_media,1108.0
0517210000000000060807,Chigorodó,0.5975,conectividad_media,1142.0
0517210000000000060903,Chigorodó,0.5975,conectividad_media,1422.0
0517210000000000061019,Chigorodó,0.5575,conectividad_media,1257.0
0549020050300500010211,Necoclí,0.1975,aislado_critico,44300.0
0565910000000000010618,San Juan de Urabá,0.36,semi_aislado,72657.0
0565910000000000010805,San Juan de Urabá,0.4375,semi_aislado,72350.0
0583720110201800010124,Turbo,0.1975,aislado_critico,71.0
0504520020300900010303,Apartadó,0.4875,semi_aislado,2429.0
0504520020300900010301,Apartadó,0.6075,conectividad_media,2397.0
0504520050300100010104,Apartadó,0.4275,semi_aislado,34.0
0504520020300900010310,Apartadó,0.5675,conectividad_media,2471.0
0505110000000000010211,Arboletes,0.515,semi_aislado,84859.0
0505110000000000010341,Arboletes,0.4,semi_aislado,83869.0
0505110000000000011102,Arboletes,0.4,semi_aislado,83809.0
0505120020500300010101,Arboletes,0.0875,aislado_critico,59313.0
0505120020500300010112,Arboletes,0.0875,aislado_critico,59434.0
0505120060600500010105,Arboletes,0.1075,aislado_critico,51390.0
0505120030101100010115,Arboletes,0.0875,aislado_critico,62601.0
0517220060501400010101,Chigorodó,0.2375,aislado_critico,3361.0
0549010000000000010915,Necoclí,0.1975,aislado_critico,38326.0
0549020120600100010222,Necoclí,0.1975,aislado_critico,25570.0
0549010000000000010122,Necoclí,0.2375,aislado_critico,37068.0
0549010000000000010221,Necoclí,0.2775,aislado_critico,36463.0
0549020120300300010128,Necoclí,0.2375,aislado_critico,34866.0
0549020050300500010201,Necoclí,0.1975,aislado_critico,44374.0
0549020040400900010127,Necoclí,0.1075,aislado_critico,48664.0
0565920010100500010122,San Juan de Urabá,0.0875,aislado_critico,67780.0
0565910000000000010111,San Juan de Urabá,0.4775,semi_aislado,72688.0
0565920010100500010115,San Juan de Urabá,0.0875,aislado_critico,67813.0
0566510000000000010156,San Pedro de Urabá,0.4775,semi_aislado,23859.0
0566510000000000010316,San Pedro de Urabá,0.44,semi_aislado,22879.0
0566510000000000010352,San Pedro de Urabá,0.515,semi_aislado,23400.0
0566510000000000010727,San Pedro de Urabá,0.4775,semi_aislado,23449.0
0566510000000000010810,San Pedro de Urabá,0.515,semi_aislado,23498.0
0566510000000000010819,San Pedro de Urabá,0.4775,semi_aislado,23948.0
0566510000000000010850,San Pedro de Urabá,0.4775,semi_aislado,23745.0
0583720090700100010114,Turbo,0.71,conectividad_media,33.0
0583720090700100010125,Turbo,0.71,conectividad_media,94.0
0583720090700100010408,Turbo,0.71,conectividad_media,334.0
0583720090700100020347,Turbo,0.71,conectividad_media,188.0
0583720100700200010104,Turbo,0.5975,conectividad_media,846.0
0583720100700200010502,Turbo,0.6775,conectividad_media,1247.0
0583720100700200020521,Turbo,0.6375,conectividad_media,1198.0
0583720090600300010107,Turbo,0.7075,conectividad_media,66.0
0583720090600300010330,Turbo,0.6675,conectividad_media,263.0
0583720100400800010212,Turbo,0.7575,bien_conectado,222.0
0583720020101300010202,Turbo,0.2775,aislado_critico,29965.0
0583720090602600010101,Turbo,0.7575,bien_conectado,22.0
